,id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_first_review,time_since_last_review
3917,38916050,2014-07-17,within an hour,100%,0,0,0,Chorlton,Apartment,Entire home/apt,2,1.0,1.0,1.0,90,$0.00,15,1,0,2,7,3,5,2020-01-29,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,1727.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0-6 months,43.0
3918,38916568,2019-09-26,within an hour,100%,0,1,0,Stockport District,House,Entire home/apt,4,1.0,2.0,2.0,41,$500.00,90,2,10,2,1125,0,6,2019-10-21,0-79/100,10/10,0-8/10,9/10,9/10,10/10,9/10,1,flexible,-170.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0-6 months,77.0
3919,38916606,2019-09-12,within an hour,100%,0,0,0,Salford District,Apartment,Private room,2,1.5,1.0,1.0,30,$89.00,15,1,15,2,25,71,16,2019-09-30,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,-156.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6-12 months,36.0
3920,38919333,2018-06-18,within an hour,100%,0,2,0,Salford District,House,Private room,1,2.0,1.0,1.0,16,$82.00,20,1,15,1,1125,90,1,2019-10-04,0-79/100,10/10,0-8/10,10/10,10/10,10/10,10/10,0,flexible,295.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6-12 months,199.0
3921,38924607,2016-03-26,within an hour,100%,0,5,1,Didsbury West,House,Private room,2,1.0,1.0,1.0,31,$0.00,0,1,12,3,90,90,3,2020-01-24,0-79/100,9/10,0-8/10,9/10,10/10,9/10,9/10,0,moderate,1109.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0-6 months,50.0
3922,38927283,2017-01-14,within an hour,100%,0,1,0,City Centre,Other,Private room,2,1.0,1.0,1.0,45,,15,1,0,2,5,0,11,2019-09-29,80-94/100,9/10,0-8/10,9/10,9/10,10/10,9/10,1,flexible,815.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6-12 months,78.0
3923,38945019,2019-09-27,within an hour,100%,0,0,0,Salford District,House,Entire home/apt,7,1.5,2.0,5.0,69,$150.00,60,1,20,2,1125,64,2,2019-12-08,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,-171.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0-6 months,58.0
3924,38950348,2019-07-11,unknown,unknown,0,1,0,City Centre,Apartment,Private room,2,1.0,1.0,1.0,80,,0,2,45,1,1125,0,7,2019-09-30,80-94/100,9/10,9/10,9/10,10/10,10/10,10/10,1,strict_14_with_grace_period,-93.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6-12 months,118.0
3925,38953213,2019-07-09,within an hour,100%,1,2,0,Moston,House,Private room,1,1.5,1.0,0.0,22,,0,1,0,1,30,90,21,2019-10-13,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,-91.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6-12 months,43.0
3926,38971219,2019-03-20,within an hour,100%,1,0,0,Salford District,Apartment,Private room,2,1.0,1.0,1.0,40,$0.00,9,1,10,1,3,0,12,2019-11-23,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,20.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0-6 months,57.0
